source,target,value,level
Computer science,Mathematics,146,0
Physics,Computer science,73,0
Computer science,Materials science,52,0
Computer science,Medicine,40,0
Mathematics,Computer science,35,0
Physics,Mathematics,20,0
Computer science,Geology,16,0
Computer science,Environmental science,16,0
Computer science,Psychology,14,0
Physics,Materials science,10,0
Computer science,Business,4,0
Computer science,Chemistry,3,0
Engineering,Computer science,3,0
Biology,Computer science,2,0
Geology,Materials science,1,0
Computer science,Art,1,0
Economics,Computer science,1,0
Geography,Computer science,1,0
Physics,Geology,1,0
Physics,Engineering,1,0
Physics,Environmental science,1,0
Physics,Medicine,1,0
Geography,Environmental science,1,0
Environmental science,Materials science,1,0
Geology,Environmental science,1,0
Materials science,Medicine,1,0
Chemistry,Materials science,1,0
Sociology,Psychology,1,0
Computer science,Sociology,1,0
Sociology,Political science,1,0
Computer vision,Artificial intelligence,676,1
Computer graphics (images),Artificial intelligence,476,1
Artificial intelligence,Human–computer interaction,270,1
Data mining,Artificial intelligence,269,1
Artificial intelligence,Algorithm,254,1
Artificial intelligence,Data science,213,1
Computer graphics (images),Computer vision,192,1
Artificial intelligence,Machine learning,175,1
Computer vision,Computer graphics (images),174,1
Computer graphics (images),Human–computer interaction,124,1
Data science,Human–computer interaction,116,1
Computer vision,Algorithm,102,1
Data mining,Data science,100,1
Information retrieval,Artificial intelligence,96,1
Computer graphics (images),Algorithm,91,1
Human–computer interaction,Data science,90,1
Computer vision,Human–computer interaction,82,1
Information retrieval,Data science,80,1
Data mining,Machine learning,79,1
Human–computer interaction,Artificial intelligence,70,1
Artificial intelligence,Information retrieval,64,1
Multimedia,Human–computer interaction,63,1
Natural language processing,Artificial intelligence,55,1
Data science,Artificial intelligence,52,1
Machine learning,Data science,52,1
Data mining,Information retrieval,49,1
Information retrieval,Human–computer interaction,46,1
Natural language processing,Information retrieval,39,1
World Wide Web,Data science,37,1
Data mining,Algorithm,36,1
Theoretical computer science,Artificial intelligence,31,1
Computer graphics (images),Computational science,31,1
World Wide Web,Human–computer interaction,27,1
Artificial intelligence,Multimedia,25,1
Machine learning,Human–computer interaction,23,1
Artificial intelligence,Data mining,22,1
Theoretical computer science,Algorithm,22,1
Computational science,Algorithm,22,1
Information retrieval,World Wide Web,21,1
Computer vision,Data mining,21,1
Information retrieval,Machine learning,21,1
Parallel computing,Algorithm,20,1
Computational science,Computer graphics (images),18,1
Computational science,Parallel computing,18,1
Artificial intelligence,Theoretical computer science,18,1
World Wide Web,Multimedia,17,1
