concept_0,year_0,yearly frequency_0,rank_0,level_0,concept historical total_0,yearly vis total_0,proportion_0,concept_1,year_1,yearly frequency_1,rank_1,level_1,concept historical total_1,yearly vis total_1,proportion_1,concept_2,year_2,yearly frequency_2,rank_2,level_2,concept historical total_2,yearly vis total_2,proportion_2,concept_3,year_3,yearly frequency_3,rank_3,level_3,concept historical total_3,yearly vis total_3,proportion_3
Computer science,1990,50,1,0,3198,52,0.9615384615384616,Artificial intelligence,1990,24,1,1,1936,52,0.46153846153846156,Visualization,1990,28,1,2,2036,52,0.5384615384615384,Data visualization,1990,23,1,3,1450,52,0.4423076923076923
Computer science,1991,47,1,0,3198,48,0.9791666666666666,Artificial intelligence,1991,17,1,1,1936,48,0.3541666666666667,Visualization,1991,31,1,2,2036,48,0.6458333333333334,Data visualization,1991,24,1,3,1450,48,0.5
Computer science,1992,51,1,0,3198,51,1.0,Artificial intelligence,1992,16,1,1,1936,51,0.3137254901960784,Visualization,1992,29,1,2,2036,51,0.5686274509803921,Data visualization,1992,25,1,3,1450,51,0.49019607843137253
Computer science,1993,54,1,0,3198,55,0.9818181818181818,Artificial intelligence,1993,16,1,1,1936,55,0.2909090909090909,Visualization,1993,30,1,2,2036,55,0.5454545454545454,Data visualization,1993,21,1,3,1450,55,0.38181818181818183
Computer science,1994,47,1,0,3198,52,0.9038461538461539,Artificial intelligence,1994,19,1,1,1936,52,0.36538461538461536,Visualization,1994,34,1,2,2036,52,0.6538461538461539,Data visualization,1994,22,1,3,1450,52,0.4230769230769231
Computer science,1995,72,1,0,3198,74,0.972972972972973,Artificial intelligence,1995,32,1,1,1936,74,0.43243243243243246,Visualization,1995,39,1,2,2036,74,0.527027027027027,Data visualization,1995,23,1,3,1450,74,0.3108108108108108
Computer science,1996,76,1,0,3198,77,0.987012987012987,Artificial intelligence,1996,33,1,1,1936,77,0.42857142857142855,Visualization,1996,41,1,2,2036,77,0.5324675324675324,Data visualization,1996,29,1,3,1450,77,0.37662337662337664
Computer science,1997,87,1,0,3198,88,0.9886363636363636,Artificial intelligence,1997,36,1,1,1936,88,0.4090909090909091,Visualization,1997,40,1,2,2036,88,0.45454545454545453,Data visualization,1997,30,1,3,1450,88,0.3409090909090909
Computer science,1998,88,1,0,3198,90,0.9777777777777777,Artificial intelligence,1998,45,1,1,1936,90,0.5,Visualization,1998,43,1,2,2036,90,0.4777777777777778,Data visualization,1998,29,1,3,1450,90,0.32222222222222224
Computer science,1999,86,1,0,3198,88,0.9772727272727273,Artificial intelligence,1999,35,1,1,1936,88,0.3977272727272727,Visualization,1999,40,1,2,2036,88,0.45454545454545453,Data visualization,1999,25,1,3,1450,88,0.2840909090909091
Computer science,2000,90,1,0,3198,92,0.9782608695652174,Artificial intelligence,2000,49,1,1,1936,92,0.532608695652174,Visualization,2000,48,1,2,2036,92,0.5217391304347826,Data visualization,2000,34,1,3,1450,92,0.3695652173913043
Computer science,2001,94,1,0,3198,96,0.9791666666666666,Artificial intelligence,2001,48,1,1,1936,96,0.5,Visualization,2001,39,1,2,2036,96,0.40625,Data visualization,2001,27,1,3,1450,96,0.28125
Computer science,2002,99,1,0,3198,101,0.9801980198019802,Artificial intelligence,2002,49,1,1,1936,101,0.48514851485148514,Visualization,2002,46,1,2,2036,101,0.45544554455445546,Data visualization,2002,28,1,3,1450,101,0.27722772277227725
Computer science,2003,99,1,0,3198,102,0.9705882352941176,Artificial intelligence,2003,63,1,1,1936,102,0.6176470588235294,Visualization,2003,42,1,2,2036,102,0.4117647058823529,Data visualization,2003,29,1,3,1450,102,0.28431372549019607
Computer science,2004,94,1,0,3198,97,0.9690721649484536,Artificial intelligence,2004,46,1,1,1936,97,0.4742268041237113,Visualization,2004,47,1,2,2036,97,0.4845360824742268,Data visualization,2004,22,1,3,1450,97,0.2268041237113402
Computer science,2005,119,1,0,3198,119,1.0,Artificial intelligence,2005,51,1,1,1936,119,0.42857142857142855,Visualization,2005,59,1,2,2036,119,0.4957983193277311,Data visualization,2005,36,1,3,1450,119,0.3025210084033613
Computer science,2006,113,1,0,3198,113,1.0,Artificial intelligence,2006,65,1,1,1936,113,0.5752212389380531,Visualization,2006,86,1,2,2036,113,0.7610619469026548,Data visualization,2006,58,1,3,1450,113,0.5132743362831859
